word,pos,n_observed,n_total,alt_pos,open_class
aesthetic,noun_adj,1,1,,1
aesthetically,adv,1,1,,1
aesthetics,noun,1,1,,1
af,noun,1,1,,1
afar,undef,1,1,,1
affable,adj,1,1,,1
affably,adv,1,1,,1
affair,noun,1,1,,1
affairs,noun,1,1,,1
affect,noun_verb,1,1,,1
affected,verb_adj,1,1,,1
affecting,verb_adj,1,1,,1
affection,noun,1,1,,1
affectionate,adj,1,1,,1
affectionately,adv,1,1,,1
affections,noun,1,1,,1
affective,noun_adj,1,1,,1
affidavit,noun,1,1,,1
affidavits,noun,1,1,,1
affiliate,noun_verb,1,1,,1
affiliated,verb,1,1,,1
affiliates,verb,1,1,,1
affiliation,noun,1,1,,1
affiliations,noun,1,1,,1
affinity,noun,1,1,,1
affirm,verb,1,1,,1
affirmation,noun,1,1,,1
affirmative,noun_adj,1,1,,1
affirmed,verb,1,1,,1
affirming,verb,1,1,,1
affirms,verb,1,1,,1
affixed,verb,1,1,,1
affleck,undef,1,1,,1
afflict,verb,1,1,,1
afflicted,verb,1,1,,1
affliction,noun,1,1,,1
afflictions,noun,1,1,,1
afflicts,verb,1,1,,1
affluence,noun,1,1,,1
affluent,noun_adj,1,1,,1
afford,verb,1,1,,1
affordability,noun,1,1,,1
affordable,adj,1,1,,1
afforded,verb,1,1,,1
affords,verb,1,1,,1
affront,noun_verb,1,1,,1
afghan,noun,1,1,,1
afghanistan,noun,1,1,,1
afghans,noun,1,1,,1
aficionados,noun,1,1,,1
afield,adv,1,1,,1
afire,adj,1,1,,1
afloat,adj,1,1,,1
afoot,adv,1,1,,1
aforementioned,adj,1,1,,1
aforesaid,undef,1,1,,1
afoul,adv,1,1,,1
afraid,adj,1,1,,1
afresh,adv,1,1,,1
africa,noun,1,1,,1
african,noun_adj,1,1,,1
africans,noun,1,1,,1
afrobeat,undef,1,1,,1
after,prep,1,1,,0
afterglow,noun,1,1,,1
afterlife,noun,1,1,,1
aftermath,noun,1,1,,1
afternoon,noun,1,1,,1
afternoons,noun,1,1,,1
aftershock,noun,1,1,,1
aftershocks,noun_verb,1,1,,1
afterthought,noun,1,1,,1
afterward,adv,1,1,,1
afterwards,adv,1,1,,1
again,adv,1,1,,1
against,prep,1,1,,0
agar,noun,1,1,,1
agassi,noun,1,1,,1
agate,undef,1,1,,1
agatha,noun,1,1,,1
age,noun_verb,1,1,,1
agee,noun,1,1,,1
ageing,noun_verb,1,1,,1
agency,noun,1,1,,1
agencys,noun,1,1,,1
agenda,noun,1,1,,1
agendas,noun,1,1,,1
agent,noun,1,1,,1
agents,noun,1,1,,1
ages,noun_verb,1,1,,1
aggravate,verb,1,1,,1
aggravated,verb,1,1,,1
aggravating,verb,1,1,,1
aggravation,noun,1,1,,1
aggregated,verb,1,1,,1
aggregation,noun,1,1,,1
aggregators,noun,1,1,,1
aggression,noun,1,1,,1
aggressive,adj,1,1,,1
aggressively,adv,1,1,,1
aggressiveness,noun,1,1,,1
aggrieved,verb,1,1,,1
aghast,adj,1,1,,1
agile,adj,1,1,,1
agility,noun,1,1,,1
aging,noun_verb,1,1,,1
agitated,verb_adj,1,1,,1
agitation,noun,1,1,,1
agnes,noun,1,1,,1
agnew,undef,1,1,,1
agnostic,noun_adj,1,1,,1
ago,postpos,1,1,,0
agonising,verb,1,1,,1
agonizing,adj,1,1,,1
agony,noun,1,1,,1
agrarian,noun_adj,1,1,,1
agree,verb,1,1,,1
agreeable,adj,1,1,,1
agreed,verb_adj,1,1,,1
agreeing,verb,1,1,,1
agreement,noun,1,1,,1
agreements,noun,1,1,,1
agrees,verb,1,1,,1
agricultural,adj,1,1,,1
agriculture,noun,1,1,,1
aground,adj,1,1,,1
agua,noun,1,1,,1
ah,interj,1,1,,1
aha,interj,1,1,,1
ahead,adv,1,1,,1
ahem,interj,1,1,,1
ahmad,noun,1,1,,1
ahmed,noun,1,1,,1
ahold,undef,1,1,,1
aid,noun_verb,1,1,,1
aidan,noun,1,1,,1
aide,noun,1,1,,1
aided,verb,1,1,,1
aides,noun_verb,1,1,,1
aiding,verb,1,1,,1
aids,noun_verb,1,1,,1
aikman,noun,1,1,,1
ailing,verb_adj,1,1,,1
ailment,noun,1,1,,1
ailments,noun,1,1,,1
aim,noun_verb,1,1,,1
aimed,verb,1,1,,1
aiming,verb,1,1,,1
aimless,adj,1,1,,1
aimlessly,adv,1,1,,1
aims,noun_verb,1,1,,1
ainsworth,noun,1,1,,1
aint,aux,1,1,,0
air,noun_verb,1,1,,1
airbags,noun_verb,1,1,,1
airborne,adj,1,1,,1
airbus,noun,1,1,,1
aircraft,noun,1,1,,1
aircrafts,noun,1,1,,1
airdrie,undef,1,1,,1
aire,noun,1,1,,1
aired,verb,1,1,,1
airedale,noun,1,1,,1
aires,noun,1,1,,1
airfield,noun,1,1,,1
airfields,noun,1,1,,1
airflow,noun,1,1,,1
airframe,noun,1,1,,1
airhead,noun,1,1,,1
airheads,noun_verb,1,1,,1
airing,noun_verb,1,1,,1
airlift,noun_verb,1,1,,1
airlifted,verb_adj,1,1,,1
airline,noun,1,1,,1
airliner,noun,1,1,,1
airliners,noun,1,1,,1
airlines,noun,1,1,,1
airlock,noun,1,1,,1
airman,noun,1,1,,1
airmass,undef,1,1,,1
airmen,noun,1,1,,1
airplane,noun,1,1,,1
airplanes,noun,1,1,,1
airport,noun,1,1,,1
airports,noun,1,1,,1
airs,noun_verb,1,1,,1
airship,noun,1,1,,1
airships,noun,1,1,,1
airspace,noun,1,1,,1
airstrikes,noun_verb,1,1,,1
airtight,adj,1,1,,1
airtime,undef,1,1,,1
airtours,noun_verb,1,1,,1
airwaves,noun,1,1,,1
airways,noun,1,1,,1
airworthiness,noun,1,1,,1
airy,adj,1,1,,1
aisle,noun,1,1,,1
aisles,noun,1,1,,1
aitch,noun,4,4,,1
aitken,noun,1,1,,1
ak,undef,1,1,,1
akbar,noun,1,1,,1
akin,adj,1,1,,1
akira,noun,1,1,,1
akron,noun,1,1,,1
al,noun,1,1,,1
ala,noun,1,1,,1
alabama,noun,1,1,,1
alabaster,noun_adj,1,1,,1
aladdin,noun,1,1,,1
alain,noun,1,1,,1
alameda,noun,1,1,,1
alamo,noun,1,1,,1
alamos,noun,1,1,,1
alan,noun,1,1,,1
alanna,noun,1,1,,1
alarm,noun_verb,1,1,,1
alarmed,verb,1,1,,1
alarming,verb_adj,1,1,,1
alarmingly,adv,1,1,,1
alarmism,noun,1,1,,1
alarmist,noun_adj,1,1,,1
alarms,noun_verb,1,1,,1
alas,interj,1,1,,1
alaska,noun,1,1,,1
alaskan,noun_adj,1,1,,1
alastair,noun,1,1,,1
alban,undef,1,1,,1
albania,noun,1,1,,1
albanian,noun_adj,1,1,,1
albanians,noun,1,1,,1
albany,noun,1,1,,1
albatross,noun,1,1,,1
albeit,conj,1,1,,0
albert,noun,1,1,,1
alberta,noun,1,1,,1
alberto,noun,1,1,,1
albino,noun,1,1,,1
albion,noun,1,1,,1
albrecht,noun,1,1,,1
albright,noun,1,1,,1
album,noun,1,1,,1
albums,noun,1,1,,1
albuquerque,noun,1,1,,1
alcatel,undef,1,1,,1
alchemy,noun,1,1,,1
alcohol,noun,1,1,,1
alcoholic,noun_adj,1,1,,1
alcoholics,noun,1,1,,1
alcoholism,noun,1,1,,1
alcott,noun,1,1,,1
alder,noun,1,1,,1
alderman,noun,1,1,,1
aldermen,noun,1,1,,1
aldershot,noun,1,1,,1
alderson,noun,1,1,,1
aldington,noun,1,1,,1
aldous,noun,1,1,,1
aldrich,noun,1,1,,1
aldridge,noun,1,1,,1
aldrin,noun,1,1,,1
ale,noun,1,1,,1
alec,noun,1,1,,1
alejandro,noun,1,1,,1
aleksandr,noun,1,1,,1
alert,noun_verb_adj,1,1,,1
alerted,verb,1,1,,1
alerting,verb,1,1,,1
alerts,noun_verb,1,1,,1
alessandra,noun,1,1,,1
alessandro,noun,1,1,,1
alex,noun,1,1,,1
alexander,noun,1,1,,1
alexandra,noun,1,1,,1
alexandre,noun,1,1,,1
alexandria,noun,1,1,,1
alexis,noun,1,1,,1
alf,noun,1,1,,1
alfalfa,noun,1,1,,1
alfonso,noun,1,1,,1
alfred,noun,1,1,,1
alfredo,noun,1,1,,1
algae,noun,1,1,,1
algal,adj,1,1,,1
algebra,noun,1,1,,1
algebraic,adj,1,1,,1
alger,noun,1,1,,1
algeria,noun,1,1,,1
algerian,noun_adj,1,1,,1
algerians,noun,1,1,,1
algernon,noun,1,1,,1
algiers,noun,1,1,,1
algona,noun,1,1,,1
algonquin,noun_adj,1,1,,1
algorithm,noun,1,1,,1
algorithms,noun_verb,1,1,,1
ali,noun,1,1,,1
alias,noun,1,1,,1
aliases,noun,1,1,,1
alibi,noun_verb,1,1,,1
alibis,noun,1,1,,1
alice,noun,1,1,,1
alicia,noun,1,1,,1
alien,noun_adj,1,1,,1
alienate,verb,1,1,,1
alienated,verb,1,1,,1
alienating,verb,1,1,,1
alienation,noun,1,1,,1
aliens,noun,1,1,,1
alight,verb_adj,1,1,,1
alighted,verb,1,1,,1
align,verb,1,1,,1
aligned,verb,1,1,,1
aligning,verb,1,1,,1
alignment,noun,1,1,,1
alignments,noun,1,1,,1
alike,adv,1,1,,1
alisa,noun,1,1,,1
alison,noun,1,1,,1
alistair,noun,1,1,,1
ality,noun,1,1,,1
alive,adj,1,1,,1
alix,noun,1,1,,1
all,quant,1,1,,1
allah,noun,1,1,,1
allan,noun,1,1,,1
allard,noun,1,1,,1
allay,verb,1,1,,1
allegation,noun,1,1,,1
allegations,noun,1,1,,1
allege,verb,1,1,,1
alleged,verb_adj,1,1,,1
allegedly,adv,1,1,,1
alleges,verb,1,1,,1
allegiance,noun,1,1,,1
alleging,verb,1,1,,1
allegory,noun,1,1,,1
allele,undef,1,1,,1
alleluia,interj,1,1,,1
allen,noun,1,1,,1
allentown,noun,1,1,,1
allergic,adj,1,1,,1
allergy,noun,1,1,,1
allergys,noun,1,1,,1
alleviate,verb,1,1,,1
alley,noun,1,1,,1
alleys,noun,1,1,,1
alliance,noun,1,1,,1
alliances,noun,1,1,,1
allied,verb,1,1,,1
alligator,noun,1,1,,1
alligators,noun,1,1,,1
allison,noun,1,1,,1
allocable,adj,1,1,,1
allocate,verb,1,1,,1
allocated,verb,1,1,,1
allocates,verb,1,1,,1
allocating,verb,1,1,,1
allocation,noun,1,1,,1
allocations,noun,1,1,,1
allotment,noun,1,1,,1
allotted,verb,1,1,,1
